"FM","KD_JENIS_TRANSAKSI","FG_PENGGANTI","NOMOR_FAKTUR","MASA_PAJAK","TAHUN_PAJAK","TANGGAL_FAKTUR","NPWP","NAMA","ALAMAT_LENGKAP","JUMLAH_DPP","JUMLAH_PPN","JUMLAH_PPNBM","IS_CREDITABLE"
"FM","01","0","0331649138767","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","4104989","410498","0","1"
"FM","01","0","0331649138768","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","4104989","410498","0","1"
"FM","01","0","0331649138769","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","4359915","435991","0","1"
"FM","03","0","0331649138770","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","13321055","1332105","0","1"
"FM","03","0","0331649138771","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","17439656","1743965","0","1"
"FM","03","0","0331649138772","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","16500000","1650000","0","1"
"FM","01","0","0331649138773","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","8251720","825172","0","1"
"FM","03","0","0331649138774","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","12594545","1259454","0","1"
"FM","01","0","0331649138775","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1948500","194850","0","1"
"FM","01","0","0331649138776","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1948500","194850","0","1"
"FM","01","0","0331649138777","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","3500000","350000","0","1"
"FM","03","0","0331649138778","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","10670000","1067000","0","1"
"FM","01","0","0331649138779","9","2016","21/09/2016","014132534904000","KOP KARYAWAN NUSA JAYA PT.BTDC NUSA DUA                         ","NUSA DUA /PT.BTDC PO.BOX.3 , BADUNG","1499500","149950","0","1"
